Label,betweenesscentrality,degree,bridgingcentrality
BAKON_575,127.556343,26,5.628438
BAKON_532,324.718431,40,8.561942
BAKON_459,0,20,0
BAKON_444,51.316457,23,2.797236
BAKON_427,410.485567,33,9.258195
BAKON_421,0,20,0
BAKON_358,169.709039,26,7.612052
BAKON_348,22.400253,21,1.355665
BAKON_323,151.546318,24,6.772207
BAKON_281,112.476268,25,5.377782
BAKON_244,73.310865,23,2.653452
BAKON_229,18.123907,21,1.096623
BAKON_217,141.716369,24,6.917799
BAKON_148,365.826682,35,10.261128
BAKON_144,93.412192,24,4.673876
BAKON_092,104.92907,27,4.277133
BAKON_090,160.456836,29,5.928327
BAKON_050,106.903729,24,5.315389
BAKON_046,175.727503,29,7.039563
BAKON_031,136.501769,27,5.570139
BAKON_026,162.30445,29,5.910236
BAKON_027,29.388824,19,2.566737
BAKON_030,2.555238,16,1.04992
BAKON_033,303.295046,27,12.890699
BAKON_461,124.387002,22,6.092728
BAKON_448,9.175156,15,0.884097
BAKON_447,12.333477,16,1.102235
BAKON_440,44.954166,18,3.423347
BAKON_438,39.135232,16,3.417901
BAKON_426,37.493077,15,3.43097
BAKON_410,87.817423,21,5.351309
BAKON_368,69.304236,15,5.690071
BAKON_302,52.150424,14,5.081338
BAKON_286,35.219643,14,3.505876
BAKON_197,72.763756,20,4.460272
BAKON_134,91.808407,21,4.996611
BAKON_539,71.581182,25,4.310696
BAKON_451,57.048678,22,3.095572
BAKON_430,143.646657,22,6.300514
BAKON_401,149.077723,28,6.40123
BAKON_283,316.166426,27,12.311701
BAKON_280,13.511068,18,1.263561
BAKON_265,40.941675,25,2.301109
BAKON_263,37.588174,25,2.202306
BAKON_236,55.06575,21,3.812009
BAKON_210,47.679484,20,3.416812
BAKON_208,159.759224,25,6.814476
BAKON_115,6.572744,14,0.875769
BAKON_608,0,11,0
BAKON_596,67.611702,15,7.075805
BAKON_582,59.900408,14,5.659102
BAKON_395,274.330337,27,12.179946
BAKON_291,132.484827,16,11.004874
BAKON_279,96.701004,17,8.362625
BAKON_249,186.553467,22,10.756673
BAKON_224,0,11,0
BAKON_192,213.272003,26,8.721184
BAKON_185,288.468119,26,12.686532
BAKON_091,135.423497,19,9.434742
BAKON_048,287.504306,27,12.925297
BAKON_613,39.924649,13,4.925635
BAKON_590,79.81298,16,7.699598
BAKON_363,318.961991,23,11.859828
BAKON_335,261.762344,24,12.058921
BAKON_318,109.44744,17,8.041515
BAKON_288,27.391226,11,3.912379
BAKON_223,18.919222,11,2.853803
BAKON_120,134.815688,20,8.089614
BAKON_108,64.296163,15,6.544521
BAKON_099,93.29794,14,9.218302
BAKON_067,12.416001,10,6.426954
BAKON_070,23.594089,12,2.470759
BAKON_073,81.444724,19,4.777316
BAKON_486,72.905593,12,6.53622
BAKON_369,47.40336,10,5.955361
BAKON_305,17.715917,10,2.320636
BAKON_227,4.455322,8,0.86428
BAKON_219,48.229238,10,6.989854
BAKON_207,25.429044,11,3.03477
BAKON_106,71.570864,12,7.992117
BAKON_078,0,3,0
BAKON_607,34.644452,18,1.508526
