Label,bridgingcentrality,betweenesscentrality,degree
BAKON_480,0.895555,6.096769,13
BAKON_481,0.355663,2.15,12
BAKON_484,2.043173,12.11869,11
BAKON_486,2.043173,12.11869,11
BAKON_492,13.557929,78.554317,10
BAKON_498,0,0,4
BAKON_502,0.146569,0.395094,12
BAKON_514,0.459308,2.760072,19
BAKON_538,4.348055,49.839986,18
BAKON_539,4.187601,44.126221,17
BAKON_540,4.03101,38.868882,16
BAKON_541,3.954591,34.496195,15
BAKON_547,6.545371,50.976371,10
BAKON_548,2.241999,15.225237,9
BAKON_549,0,0,3
BAKON_555,13.371165,48.929136,6
BAKON_557,9.94534,27.207399,5
BAKON_558,0,0,3
BAKON_562,0,0,3
BAKON_563,0,0,3
BAKON_569,3.481599,4.669397,5
BAKON_573,8.812143,44.753596,6
BAKON_574,7.743954,16.557603,4
BAKON_575,0,0,3
BAKON_589,6.726556,47.186662,11
BAKON_590,6.726556,47.186662,11
BAKON_592,5.850828,30.871267,9
BAKON_593,5.064671,22.577309,8
BAKON_595,0,0,5
BAKON_606,0,0,2
BAKON_607,0,0,2
BAKON_613,3.959465,21.743133,11
BAKON_615,3.267906,14.962829,10
BAKON_616,1.039714,4.029607,9
